,Name,Stock,Discount
456,Pen,752,0.88
457,Pen,703,0.85
458,Pen,915,0.96
459,Pen,159,0.58
460,Pen,941,0.97
461,Pen,170,0.58
462,Pen,641,0.82
463,Pen,578,0.79
464,Pen,384,0.69
465,Pen,825,0.91
466,Pen,997,1.0
467,Pen,654,0.83
468,Pen,89,0.54
469,Pen,67,0.53
470,Pen,827,0.91
471,Pen,86,0.54
472,Pen,202,0.6
473,Pen,767,0.88
474,Pen,226,0.61
475,Pen,62,0.53
476,Pen,394,0.7
477,Pen,8,0.5
478,Pen,100,0.55
479,Pen,403,0.7
480,Pen,569,0.78
481,Pen,531,0.77
482,Pen,296,0.65
483,Pen,459,0.73
484,Pen,942,0.97
485,Pen,500,0.75
486,Pen,807,0.9
487,Pen,598,0.8
488,Pen,731,0.87
489,Pen,695,0.85
490,Pen,222,0.61
491,Pen,433,0.72
492,Pen,85,0.54
493,Pen,377,0.69
494,Pen,225,0.61
495,Pen,267,0.63
496,Pen,599,0.8
497,Pen,795,0.9
498,Pen,170,0.58
499,Pen,441,0.72
500,Pen,196,0.6
501,Pen,367,0.68
502,Pen,117,0.56
503,Pen,65,0.53
504,Pen,841,0.92
505,Pen,884,0.94
506,Pen,873,0.94
507,Pen,718,0.86
508,Pen,28,0.51
509,Pen,924,0.96
510,Pen,538,0.77
511,Pen,462,0.73
512,Pen,770,0.89
513,Pen,693,0.85
514,Pen,206,0.6
515,Pen,121,0.56
516,Pen,509,0.75
517,Pen,407,0.7
518,Pen,262,0.63
519,Pen,212,0.61
520,Pen,656,0.83
521,Pen,43,0.52
522,Pen,970,0.98
523,Pen,816,0.91
524,Pen,221,0.61
525,Pen,638,0.82
526,Pen,149,0.57
527,Pen,107,0.55
528,Pen,202,0.6
529,Pen,469,0.73
530,Pen,387,0.69
531,Pen,370,0.69
532,Pen,559,0.78
533,Pen,846,0.92
534,Pen,154,0.58
535,Pen,107,0.55
536,Pen,610,0.8
537,Pen,499,0.75
538,Pen,151,0.58
539,Pen,577,0.79
540,Pen,415,0.71
541,Pen,653,0.83
542,Pen,696,0.85
543,Pen,433,0.72
544,Pen,898,0.95
545,Pen,533,0.77
546,Pen,507,0.75
547,Pen,695,0.85
548,Pen,939,0.97
549,Pen,909,0.95
550,Pen,330,0.67
551,Pen,853,0.93
552,Pen,510,0.76
553,Pen,510,0.76
554,Pen,650,0.82
555,Pen,686,0.84
556,Pen,895,0.95
557,Pen,206,0.6
558,Pen,555,0.78
559,Pen,624,0.81
560,Pen,953,0.98
561,Pen,224,0.61
562,Pen,9,0.5
563,Pen,348,0.67
564,Pen,722,0.86
565,Pen,985,0.99
566,Pen,764,0.88
567,Pen,920,0.96
568,Pen,325,0.66
569,Pen,837,0.92
570,Pen,329,0.66
571,Pen,36,0.52
572,Pen,537,0.77
573,Pen,151,0.58
574,Pen,895,0.95
575,Pen,263,0.63
576,Pen,617,0.81
577,Pen,802,0.9
578,Pen,159,0.58
579,Pen,862,0.93
580,Pen,388,0.69
581,Pen,596,0.8
582,Pen,301,0.65
583,Pen,735,0.87
584,Pen,723,0.86
585,Pen,826,0.91
586,Pen,481,0.74
587,Pen,67,0.53
588,Pen,819,0.91
589,Pen,86,0.54
590,Pen,528,0.76
591,Pen,889,0.94
592,Pen,937,0.97
593,Pen,40,0.52
594,Pen,67,0.53
595,Pen,230,0.61
596,Pen,133,0.57
597,Pen,41,0.52
598,Pen,307,0.65
599,Pen,15,0.51
600,Pen,777,0.89
601,Pen,864,0.93
602,Pen,459,0.73
603,Pen,338,0.67
604,Pen,882,0.94
605,Pen,164,0.58
606,Pen,819,0.91
607,Pen,152,0.58
608,Pen,889,0.94
609,Pen,671,0.84
610,Pen,471,0.74
611,Pen,991,1.0
612,Pen,380,0.69
613,Pen,517,0.76
614,Pen,391,0.7
615,Pen,922,0.96
616,Pen,542,0.77
617,Pen,514,0.76
618,Pen,34,0.52
619,Pen,587,0.79
620,Pen,92,0.55
621,Pen,694,0.85
622,Pen,813,0.91
623,Pen,824,0.91
624,Pen,530,0.77
625,Pen,776,0.89
626,Pen,614,0.81
627,Pen,78,0.54
628,Pen,764,0.88
629,Pen,436,0.72
630,Pen,927,0.96
631,Pen,772,0.89
632,Pen,211,0.61
633,Pen,296,0.65
634,Pen,548,0.77
635,Pen,922,0.96
636,Pen,612,0.81
637,Pen,427,0.71
638,Pen,845,0.92
639,Pen,995,1.0
640,Pen,493,0.75
641,Pen,865,0.93
642,Pen,810,0.91
643,Pen,995,1.0
644,Pen,397,0.7
645,Pen,622,0.81
646,Pen,600,0.8
647,Pen,239,0.62
648,Pen,871,0.94
649,Pen,885,0.94
650,Pen,817,0.91
651,Pen,20,0.51
652,Pen,672,0.84
653,Pen,906,0.95
654,Pen,0,0.5
655,Pen,758,0.88
656,Pen,186,0.59
657,Pen,309,0.65
658,Pen,519,0.76
659,Pen,583,0.79
660,Pen,260,0.63
661,Pen,340,0.67
662,Pen,67,0.53
663,Pen,505,0.75
664,Pen,880,0.94
665,Pen,268,0.63
666,Pen,965,0.98
667,Pen,844,0.92
668,Pen,310,0.66
669,Pen,791,0.9
670,Pen,417,0.71
671,Pen,393,0.7
672,Pen,829,0.91
673,Pen,392,0.7
674,Pen,63,0.53
675,Pen,167,0.58
676,Pen,656,0.83
677,Pen,957,0.98
678,Pen,130,0.56
679,Pen,244,0.62
680,Pen,293,0.65
681,Pen,746,0.87
682,Pen,849,0.92
683,Pen,342,0.67
684,Pen,56,0.53
685,Pen,964,0.98
686,Pen,36,0.52
687,Pen,492,0.75
688,Pen,427,0.71
689,Pen,144,0.57
690,Pen,503,0.75
691,Pen,911,0.96
692,Pen,884,0.94
693,Pen,616,0.81
694,Pen,734,0.87
695,Pen,83,0.54
696,Pen,689,0.84
697,Pen,715,0.86
698,Pen,155,0.58
699,Pen,829,0.91
700,Pen,361,0.68
701,Pen,421,0.71
702,Pen,36,0.52
703,Pen,626,0.81
704,Pen,477,0.74
705,Pen,395,0.7
706,Pen,469,0.73
707,Pen,48,0.52
708,Pen,103,0.55
709,Pen,482,0.74
710,Pen,796,0.9
711,Pen,155,0.58
712,Pen,20,0.51
713,Pen,33,0.52
714,Pen,612,0.81
715,Pen,632,0.82
716,Pen,135,0.57
717,Pen,645,0.82
718,Pen,331,0.67
719,Pen,107,0.55
720,Pen,716,0.86
721,Pen,562,0.78
722,Pen,664,0.83
723,Pen,354,0.68
724,Pen,199,0.6
725,Pen,392,0.7
726,Pen,802,0.9
727,Pen,795,0.9
728,Pen,796,0.9
729,Pen,502,0.75
730,Pen,113,0.56
731,Pen,902,0.95
732,Pen,61,0.53
733,Pen,624,0.81
734,Pen,717,0.86
735,Pen,478,0.74
736,Pen,629,0.81
737,Pen,647,0.82
738,Pen,956,0.98
739,Pen,345,0.67
740,Pen,666,0.83
741,Pen,127,0.56
742,Pen,992,1.0
743,Pen,698,0.85
744,Pen,730,0.86
745,Pen,636,0.82
746,Pen,303,0.65
747,Pen,807,0.9
748,Pen,869,0.93
749,Pen,130,0.56
750,Pen,981,0.99
751,Pen,933,0.97
752,Pen,396,0.7
753,Pen,818,0.91
754,Pen,300,0.65
755,Pen,938,0.97
756,Pen,763,0.88
757,Pen,893,0.95
758,Pen,980,0.99
759,Pen,697,0.85
760,Pen,829,0.91
761,Pen,124,0.56
762,Pen,531,0.77
763,Pen,881,0.94
764,Pen,804,0.9
765,Pen,193,0.6
766,Pen,39,0.52
767,Pen,800,0.9
768,Pen,401,0.7
769,Pen,455,0.73
770,Pen,380,0.69
771,Pen,774,0.89
772,Pen,195,0.6
773,Pen,466,0.73
774,Pen,365,0.68
775,Pen,808,0.9
776,Pen,647,0.82
777,Pen,77,0.54
778,Pen,979,0.99
779,Pen,45,0.52
780,Pen,923,0.96
781,Pen,956,0.98
782,Pen,40,0.52
783,Pen,497,0.75
784,Pen,261,0.63
785,Pen,922,0.96
786,Pen,27,0.51
787,Pen,967,0.98
788,Pen,532,0.77
789,Pen,682,0.84
790,Pen,582,0.79
791,Pen,585,0.79
792,Pen,896,0.95
793,Pen,221,0.61
794,Pen,235,0.62
795,Pen,95,0.55
796,Pen,794,0.9
797,Pen,839,0.92
798,Pen,905,0.95
799,Pen,910,0.96
800,Clothing,321,0.76
801,Clothing,399,0.82
802,Clothing,257,0.71
803,Clothing,357,0.79
804,Clothing,268,0.71
805,Clothing,215,0.67
806,Clothing,259,0.71
807,Clothing,156,0.62
808,Clothing,484,0.89
809,Clothing,58,0.55
810,Clothing,74,0.56
811,Clothing,218,0.67
812,Clothing,456,0.86
813,Clothing,289,0.73
814,Clothing,216,0.67
815,Clothing,472,0.88
816,Clothing,43,0.53
817,Clothing,479,0.88
818,Clothing,53,0.54
819,Clothing,212,0.67
820,Clothing,32,0.53
821,Clothing,50,0.54
822,Clothing,212,0.67
823,Clothing,396,0.82
824,Clothing,79,0.56
825,Clothing,375,0.8
826,Clothing,488,0.89
827,Clothing,15,0.51
828,Clothing,405,0.82
829,Clothing,228,0.68
830,Clothing,220,0.68
831,Clothing,351,0.78
832,Clothing,213,0.67
833,Clothing,15,0.51
834,Clothing,254,0.7
835,Clothing,470,0.88
836,Clothing,442,0.85
837,Clothing,492,0.89
838,Clothing,166,0.63
839,Clothing,369,0.8
840,Clothing,129,0.6
841,Clothing,40,0.53
842,Clothing,180,0.64
843,Clothing,36,0.53
844,Clothing,62,0.55
845,Clothing,183,0.65
846,Clothing,354,0.78
847,Clothing,15,0.51
848,Clothing,176,0.64
849,Clothing,178,0.64
850,Clothing,91,0.57
851,Clothing,5,0.5
852,Clothing,425,0.84
853,Clothing,498,0.9
854,Clothing,118,0.59
855,Clothing,419,0.84
856,Clothing,187,0.65
857,Clothing,36,0.53
858,Clothing,305,0.74
859,Clothing,457,0.87
860,Clothing,73,0.56
861,Clothing,106,0.58
862,Clothing,1,0.5
863,Clothing,104,0.58
864,Clothing,337,0.77
865,Clothing,344,0.78
866,Clothing,374,0.8
867,Clothing,480,0.88
868,Clothing,461,0.87
869,Clothing,63,0.55
870,Clothing,382,0.81
871,Clothing,3,0.5
872,Clothing,150,0.62
873,Clothing,188,0.65
874,Clothing,353,0.78
875,Clothing,12,0.51
876,Clothing,477,0.88
877,Clothing,309,0.75
878,Clothing,119,0.6
879,Clothing,439,0.85
880,Clothing,72,0.56
881,Clothing,95,0.58
882,Clothing,232,0.69
883,Clothing,57,0.55
884,Clothing,244,0.7
885,Clothing,176,0.64
886,Clothing,362,0.79
887,Clothing,491,0.89
888,Clothing,132,0.61
889,Clothing,66,0.55
890,Clothing,14,0.51
891,Clothing,494,0.9
892,Clothing,106,0.58
893,Clothing,185,0.65
894,Clothing,171,0.64
895,Clothing,242,0.69
896,Clothing,491,0.89
897,Clothing,149,0.62
898,Clothing,151,0.62
899,Clothing,479,0.88
900,Clothing,449,0.86
901,Clothing,490,0.89
902,Clothing,283,0.73
903,Clothing,325,0.76
904,Clothing,167,0.63
905,Clothing,94,0.58
906,Clothing,303,0.74
907,Clothing,41,0.53
908,Clothing,52,0.54
909,Clothing,273,0.72
910,Clothing,297,0.74
911,Clothing,157,0.63
912,Clothing,80,0.56
913,Clothing,192,0.65
914,Clothing,459,0.87
915,Clothing,75,0.56
916,Clothing,484,0.89
917,Clothing,64,0.55
918,Clothing,411,0.83
919,Clothing,114,0.59
920,Clothing,161,0.63
921,Clothing,260,0.71
922,Clothing,124,0.6
923,Clothing,121,0.6
924,Clothing,386,0.81
925,Clothing,94,0.58
926,Clothing,149,0.62
927,Clothing,190,0.65
928,Clothing,214,0.67
929,Clothing,339,0.77
930,Clothing,23,0.52
931,Clothing,440,0.85
932,Clothing,67,0.55
933,Clothing,307,0.75
934,Clothing,10,0.51
935,Clothing,201,0.66
936,Clothing,39,0.53
937,Clothing,359,0.79
938,Clothing,37,0.53
939,Clothing,67,0.55
940,Clothing,215,0.67
941,Clothing,153,0.62
942,Clothing,281,0.72
943,Clothing,213,0.67
944,Clothing,379,0.8
945,Clothing,474,0.88
946,Clothing,72,0.56
947,Clothing,302,0.74
948,Clothing,216,0.67
949,Clothing,152,0.62
950,Clothing,326,0.76
951,Clothing,181,0.64
952,Clothing,43,0.53
953,Clothing,127,0.6
954,Clothing,227,0.68
955,Clothing,323,0.76
956,Clothing,189,0.65
957,Clothing,326,0.76
958,Clothing,485,0.89
959,Clothing,270,0.72
960,Clothing,29,0.52
961,Clothing,192,0.65
962,Clothing,209,0.67
963,Clothing,4,0.5
964,Clothing,213,0.67
965,Clothing,492,0.89
966,Clothing,372,0.8
967,Clothing,461,0.87
968,Clothing,164,0.63
969,Clothing,225,0.68
970,Clothing,104,0.58
971,Clothing,190,0.65
972,Clothing,150,0.62
973,Clothing,487,0.89
974,Clothing,241,0.69
975,Clothing,46,0.54
976,Clothing,486,0.89
977,Clothing,94,0.58
978,Clothing,407,0.83
979,Clothing,55,0.54
980,Clothing,141,0.61
981,Clothing,57,0.55
982,Clothing,285,0.73
983,Clothing,310,0.75
984,Clothing,352,0.78
985,Clothing,78,0.56
986,Clothing,407,0.83
987,Clothing,359,0.79
988,Clothing,228,0.68
989,Clothing,475,0.88
990,Clothing,204,0.66
991,Clothing,94,0.58
992,Clothing,393,0.81
993,Clothing,215,0.67
994,Clothing,221,0.68
995,Clothing,89,0.57
996,Clothing,126,0.6
997,Clothing,491,0.89
998,Clothing,232,0.69
999,Clothing,174,0.64
1000,Clothing,479,0.88
1001,Clothing,267,0.71
1002,Clothing,72,0.56
1003,Clothing,181,0.64
1004,Clothing,236,0.69
1005,Clothing,323,0.76
1006,Clothing,326,0.76
1007,Clothing,44,0.54
1008,Clothing,247,0.7
1009,Clothing,386,0.81
1010,Clothing,104,0.58
1011,Clothing,150,0.62
1012,Clothing,0,0.5
1013,Clothing,425,0.84
1014,Clothing,357,0.79
1015,Clothing,229,0.68
1016,Clothing,316,0.75
1017,Clothing,236,0.69
1018,Clothing,3,0.5
1019,Clothing,111,0.59
1020,Clothing,152,0.62
1021,Clothing,58,0.55
1022,Clothing,393,0.81
1023,Clothing,322,0.76
1024,Clothing,154,0.62
1025,Clothing,279,0.72
1026,Clothing,311,0.75
1027,Clothing,79,0.56
1028,Clothing,217,0.67
1029,Clothing,361,0.79
1030,Clothing,384,0.81
1031,Clothing,241,0.69
1032,Clothing,47,0.54
1033,Clothing,347,0.78
1034,Clothing,254,0.7
1035,Clothing,389,0.81
1036,Clothing,491,0.89
1037,Clothing,118,0.59
1038,Clothing,278,0.72
1039,Clothing,390,0.81
1040,Clothing,207,0.67
1041,Clothing,143,0.61
1042,Clothing,323,0.76
1043,Clothing,11,0.51
1044,Clothing,61,0.55
1045,Clothing,138,0.61
1046,Clothing,452,0.86
1047,Clothing,342,0.77
1048,Clothing,20,0.52
1049,Clothing,0,0.5
1050,Clothing,131,0.6
1051,Clothing,203,0.66
1052,Clothing,269,0.72
1053,Clothing,455,0.86
1054,Clothing,297,0.74
1055,Clothing,363,0.79
1056,Clothing,202,0.66
1057,Clothing,227,0.68
1058,Clothing,52,0.54
1059,Clothing,382,0.81
1060,Clothing,129,0.6
1061,Clothing,181,0.64
1062,Clothing,145,0.62
1063,Clothing,446,0.86
1064,Clothing,386,0.81
1065,Clothing,344,0.78
1066,Clothing,465,0.87
1067,Clothing,100,0.58
1068,Clothing,304,0.74
1069,Clothing,43,0.53
1070,Clothing,18,0.51
1071,Clothing,36,0.53
1072,Clothing,405,0.82
1073,Clothing,134,0.61
1074,Clothing,156,0.62
1075,Clothing,273,0.72
1076,Clothing,174,0.64
1077,Clothing,60,0.55
1078,Clothing,271,0.72
1079,Clothing,440,0.85
1080,Clothing,127,0.6
1081,Clothing,456,0.86
1082,Clothing,471,0.88
1083,Clothing,390,0.81
1084,Clothing,83,0.57
1085,Clothing,34,0.53
1086,Clothing,212,0.67
1087,Clothing,440,0.85
1088,Clothing,148,0.62
1089,Clothing,144,0.62
1090,Clothing,266,0.71
1091,Clothing,68,0.55
1092,Clothing,293,0.73
1093,Clothing,267,0.71
1094,Clothing,321,0.76
1095,Clothing,107,0.59
1096,Clothing,272,0.72
1097,Clothing,53,0.54
